time,is_weekend,is_holiday,period,tou_rate,tiered_rate,kWh
2024-01-13 16:00:00,True,False,winter,0.087,0.103,0.217
2024-01-13 17:00:00,True,False,winter,0.087,0.103,0.0
2024-01-13 19:00:00,True,False,winter,0.087,0.103,0.0
2024-01-14 05:00:00,True,False,winter,0.087,0.103,0.0
2024-01-14 07:00:00,True,False,winter,0.087,0.103,0.0
2024-01-14 08:00:00,True,False,winter,0.087,0.103,0.315
2024-01-14 09:00:00,True,False,winter,0.087,0.103,0.452
2024-01-14 10:00:00,True,False,winter,0.087,0.103,2.439
2024-01-14 11:00:00,True,False,winter,0.087,0.103,3.325
2024-01-14 12:00:00,True,False,winter,0.087,0.103,3.343
2024-01-14 13:00:00,True,False,winter,0.087,0.103,3.791
2024-01-14 14:00:00,True,False,winter,0.087,0.103,3.029
2024-01-14 15:00:00,True,False,winter,0.087,0.103,2.017
2024-01-14 16:00:00,True,False,winter,0.087,0.103,0.19
2024-01-14 17:00:00,True,False,winter,0.087,0.103,0.0
2024-01-14 19:00:00,True,False,winter,0.087,0.103,0.0
2024-01-15 05:00:00,False,False,winter,0.087,0.103,0.0
2024-01-15 07:00:00,False,False,winter,0.182,0.103,0.0
2024-01-15 08:00:00,False,False,winter,0.182,0.103,0.552
2024-01-15 09:00:00,False,False,winter,0.182,0.103,1.934
2024-01-15 10:00:00,False,False,winter,0.182,0.103,3.281
2024-01-15 11:00:00,False,False,winter,0.182,0.103,3.984
2024-01-15 12:00:00,False,False,winter,0.122,0.103,4.593
2024-01-15 13:00:00,False,False,winter,0.122,0.103,4.032
2024-01-15 14:00:00,False,False,winter,0.122,0.103,3.296
2024-01-15 15:00:00,False,False,winter,0.122,0.103,1.675
2024-01-15 16:00:00,False,False,winter,0.122,0.103,0.394
2024-01-15 17:00:00,False,False,winter,0.182,0.103,0.0
2024-01-15 19:00:00,False,False,winter,0.087,0.103,0.0
2024-01-16 05:00:00,False,False,winter,0.087,0.103,0.0
2024-01-16 08:00:00,False,False,winter,0.182,0.103,0.0
2024-01-16 09:00:00,False,False,winter,0.182,0.103,0.019
2024-01-16 10:00:00,False,False,winter,0.182,0.103,0.097
2024-01-16 11:00:00,False,False,winter,0.182,0.103,0.179
2024-01-16 12:00:00,False,False,winter,0.122,0.103,0.22
2024-01-16 13:00:00,False,False,winter,0.122,0.103,0.251
2024-01-16 14:00:00,False,False,winter,0.122,0.103,0.344
2024-01-16 15:00:00,False,False,winter,0.122,0.103,0.235
2024-01-16 16:00:00,False,False,winter,0.122,0.103,0.01
2024-01-16 17:00:00,False,False,winter,0.182,0.103,0.0
2024-01-16 18:00:00,False,False,winter,0.182,0.103,0.0
2024-01-17 04:00:00,False,False,winter,0.087,0.103,0.0
2024-01-17 07:00:00,False,False,winter,0.182,0.103,0.0
2024-01-17 08:00:00,False,False,winter,0.182,0.103,0.018
2024-01-17 09:00:00,False,False,winter,0.182,0.103,0.27
2024-01-17 10:00:00,False,False,winter,0.182,0.103,0.44
2024-01-17 11:00:00,False,False,winter,0.182,0.103,0.631
2024-01-17 12:00:00,False,False,winter,0.122,0.103,0.43
2024-01-17 13:00:00,False,False,winter,0.122,0.103,0.716
2024-01-17 14:00:00,False,False,winter,0.122,0.103,0.89
2024-01-17 15:00:00,False,False,winter,0.122,0.103,0.477
2024-01-17 16:00:00,False,False,winter,0.122,0.103,0.016
2024-01-17 17:00:00,False,False,winter,0.182,0.103,0.0
2024-01-17 19:00:00,False,False,winter,0.087,0.103,0.0
2024-01-18 05:00:00,False,False,winter,0.087,0.103,0.0
2024-01-18 08:00:00,False,False,winter,0.182,0.103,0.0
2024-01-18 09:00:00,False,False,winter,0.182,0.103,0.04
2024-01-18 10:00:00,False,False,winter,0.182,0.103,0.093
2024-01-18 11:00:00,False,False,winter,0.182,0.103,0.198
2024-01-18 12:00:00,False,False,winter,0.122,0.103,0.266
2024-01-18 13:00:00,False,False,winter,0.122,0.103,0.305
2024-01-18 14:00:00,False,False,winter,0.122,0.103,0.183
2024-01-18 15:00:00,False,False,winter,0.122,0.103,0.177
2024-01-18 16:00:00,False,False,winter,0.122,0.103,0.003
2024-01-18 18:00:00,False,False,winter,0.182,0.103,0.0
2024-01-19 04:00:00,False,False,winter,0.087,0.103,0.0
2024-01-19 07:00:00,False,False,winter,0.182,0.103,0.0
2024-01-19 08:00:00,False,False,winter,0.182,0.103,0.007
2024-01-19 09:00:00,False,False,winter,0.182,0.103,0.085
2024-01-19 10:00:00,False,False,winter,0.182,0.103,0.155
2024-01-19 11:00:00,False,False,winter,0.182,0.103,0.172
2024-01-19 12:00:00,False,False,winter,0.122,0.103,0.189
2024-01-19 13:00:00,False,False,winter,0.122,0.103,0.157
2024-01-19 14:00:00,False,False,winter,0.122,0.103,0.146
2024-01-19 15:00:00,False,False,winter,0.122,0.103,0.105
2024-01-19 16:00:00,False,False,winter,0.122,0.103,0.019
2024-01-19 17:00:00,False,False,winter,0.182,0.103,0.0
2024-01-19 18:00:00,False,False,winter,0.182,0.103,0.0
2024-01-20 04:00:00,True,False,winter,0.087,0.103,0.0
2024-01-20 07:00:00,True,False,winter,0.087,0.103,0.0
2024-01-20 08:00:00,True,False,winter,0.087,0.103,0.0
2024-01-20 09:00:00,True,False,winter,0.087,0.103,0.112
2024-01-20 10:00:00,True,False,winter,0.087,0.103,0.266
2024-01-20 11:00:00,True,False,winter,0.087,0.103,0.492
2024-01-20 12:00:00,True,False,winter,0.087,0.103,0.574
2024-01-20 13:00:00,True,False,winter,0.087,0.103,0.379
2024-01-20 14:00:00,True,False,winter,0.087,0.103,0.265
2024-01-20 15:00:00,True,False,winter,0.087,0.103,0.09
2024-01-20 16:00:00,True,False,winter,0.087,0.103,0.019
2024-01-20 17:00:00,True,False,winter,0.087,0.103,0.0
2024-01-20 19:00:00,True,False,winter,0.087,0.103,0.0
2024-01-21 05:00:00,True,False,winter,0.087,0.103,0.0
2024-01-21 07:00:00,True,False,winter,0.087,0.103,0.0
2024-01-21 08:00:00,True,False,winter,0.087,0.103,0.13
2024-01-21 09:00:00,True,False,winter,0.087,0.103,0.559
2024-01-21 10:00:00,True,False,winter,0.087,0.103,1.291
2024-01-21 11:00:00,True,False,winter,0.087,0.103,1.875
2024-01-21 12:00:00,True,False,winter,0.087,0.103,1.587
2024-01-21 13:00:00,True,False,winter,0.087,0.103,0.797
2024-01-21 14:00:00,True,False,winter,0.087,0.103,0.598
2024-01-21 15:00:00,True,False,winter,0.087,0.103,0.511
2024-01-21 16:00:00,True,False,winter,0.087,0.103,0.181
