"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.94","43.17","HAMILTON A","6153193","2024-01-21","2024","01","21","","","M","","M","","M","","M","","M","0.0","","0.0","T","0.0","T","2","","23","","34",""
"-79.94","43.17","HAMILTON A","6153193","2024-01-22","2024","01","22","","-0.8","","-7.0","","-3.9","","21.9","","0.0","","0.0","","0.8","","0.8","","2","E","22","","51",""
"-79.94","43.17","HAMILTON A","6153193","2024-01-23","2024","01","23","","0.4","","-1.3","","-0.5","","18.5","","0.0","","1.2","","6.8","","8.0","","3","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-01-24","2024","01","24","","1.8","","0.1","","1.0","","17.0","","0.0","","10.7","","0.0","T","10.7","","4","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-01-25","2024","01","25","","2.4","","0.6","","1.5","","16.5","","0.0","","0.2","","0.0","","0.2","","2","","4","","52",""
"-79.94","43.17","HAMILTON A","6153193","2024-01-26","2024","01","26","","","M","","M","","M","","M","","M","20.5","","0.0","","20.5","","","","4","","66",""
"-79.94","43.17","HAMILTON A","6153193","2024-01-27","2024","01","27","","3.5","","0.3","","1.9","","16.1","","0.0","","0.0","T","0.0","","0.0","T","","","2","","33",""
"-79.94","43.17","HAMILTON A","6153193","2024-01-28","2024","01","28","","1.0","","0.0","","0.5","","17.5","","0.0","","0.3","","0.0","T","0.3","","0","T","3","","56",""
"-79.94","43.17","HAMILTON A","6153193","2024-01-29","2024","01","29","","3.2","","-0.9","","1.2","","16.8","","0.0","","0.0","","0.0","T","0.0","T","0","T","22","","33",""
"-79.94","43.17","HAMILTON A","6153193","2024-01-30","2024","01","30","","2.4","","-0.9","","0.8","","17.2","","0.0","","0.0","","0.0","T","0.0","T","","","20","","37",""
"-79.94","43.17","HAMILTON A","6153193","2024-01-31","2024","01","31","","3.6","","-0.4","","1.6","","16.4","","0.0","","0.0","","0.0","T","0.0","T","","","21","","36",""
"-79.94","43.17","HAMILTON A","6153193","2024-02-01","2024","02","01","","3.1","","1.1","","2.1","","15.9","","0.0","","0.0","","0.0","T","0.0","T","","","23","","53",""
"-79.94","43.17","HAMILTON A","6153193","2024-02-02","2024","02","02","","3.8","","-2.0","","0.9","","17.1","","0.0","","0.0","","0.0","","0.0","","","","35","","33",""
"-79.94","43.17","HAMILTON A","6153193","2024-02-03","2024","02","03","","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-02-04","2024","02","04","","4.3","","-6.1","","-0.9","","18.9","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-02-05","2024","02","05","","0.9","","-4.7","","-1.9","","19.9","","0.0","","0.0","","0.0","","0.0","","","","4","","33",""
"-79.94","43.17","HAMILTON A","6153193","2024-02-06","2024","02","06","","3.6","","-5.4","","-0.9","","18.9","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-02-07","2024","02","07","","7.5","","-4.5","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-02-08","2024","02","08","","7.5","","-3.2","","2.2","","15.8","","0.0","","0.0","","0.0","T","0.0","T","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-02-09","2024","02","09","","14.3","","5.6","","10.0","","8.0","","0.0","","0.5","","0.0","","0.5","","","","21","","63",""
"-79.94","43.17","HAMILTON A","6153193","2024-02-10","2024","02","10","","10.0","","1.4","","5.7","","12.3","","0.0","","0.0","","0.0","","0.0","","","","26","","40",""
"-79.94","43.17","HAMILTON A","6153193","2024-02-11","2024","02","11","","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","31","","32",""
"-79.94","43.17","HAMILTON A","6153193","2024-02-12","2024","02","12","","3.6","","-4.1","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-02-13","2024","02","13","","4.1","","-4.4","","-0.2","","18.2","","0.0","","0.0","","0.0","T","0.0","T","","","28","","59",""
"-79.94","43.17","HAMILTON A","6153193","2024-02-14","2024","02","14","","-0.6","","-8.5","","-4.6","","22.6","","0.0","","0.0","","0.0","T","0.0","T","","","28","","34",""
"-79.94","43.17","HAMILTON A","6153193","2024-02-15","2024","02","15","","0.8","","-8.5","","-3.9","","21.9","","0.0","","0.0","","5.8","","5.8","","3","E","25","","61",""
"-79.94","43.17","HAMILTON A","6153193","2024-02-16","2024","02","16","","-1.5","","-5.9","","-3.7","","21.7","","0.0","","0.0","","0.0","T","0.0","T","5","","26","","50",""
"-79.94","43.17","HAMILTON A","6153193","2024-02-17","2024","02","17","","-4.5","","-8.8","","-6.7","","24.7","","0.0","","0.0","","0.0","T","0.0","T","5","","27","","55",""
"-79.94","43.17","HAMILTON A","6153193","2024-02-18","2024","02","18","","-2.0","","-7.3","","-4.7","","22.7","","0.0","","0.0","","1.2","","1.2","","6","","22","","58",""
"-79.94","43.17","HAMILTON A","6153193","2024-02-19","2024","02","19","","-1.8","","-7.5","","-4.7","","22.7","","0.0","","0.0","","0.0","","0.0","","6","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-02-20","2024","02","20","","5.4","","-6.5","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","3","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-02-21","2024","02","21","","10.9","","-3.2","","3.9","","14.1","","0.0","","0.0","","0.0","","0.0","","0","T","18","","36",""
"-79.94","43.17","HAMILTON A","6153193","2024-02-22","2024","02","22","","9.0","","0.3","","4.7","","13.3","","0.0","","0.0","","0.0","","0.0","","0","T","17","","36",""
"-79.94","43.17","HAMILTON A","6153193","2024-02-23","2024","02","23","","10.6","","-7.1","","1.8","","16.2","","0.0","","0.0","","0.0","T","0.0","T","","","32","","36",""
"-79.94","43.17","HAMILTON A","6153193","2024-02-24","2024","02","24","","-2.6","","-13.0","","-7.8","","25.8","","0.0","","0.0","","0.0","T","0.0","T","","","2","","36",""
"-79.94","43.17","HAMILTON A","6153193","2024-02-25","2024","02","25","","4.7","","-7.4","","-1.4","","19.4","","0.0","","0.0","","0.0","","0.0","","","","21","","49",""
"-79.94","43.17","HAMILTON A","6153193","2024-02-26","2024","02","26","","9.8","","-2.2","","3.8","","14.2","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-02-27","2024","02","27","","13.4","","-1.4","","6.0","","12.0","","0.0","","8.7","","0.0","","8.7","","","","16","","40",""
"-79.94","43.17","HAMILTON A","6153193","2024-02-28","2024","02","28","","14.9","","-6.1","","4.4","","13.6","","0.0","","10.4","","0.2","","10.6","","0","T","22","","75",""
"-79.94","43.17","HAMILTON A","6153193","2024-02-29","2024","02","29","","-2.6","","-7.9","","-5.3","","23.3","","0.0","","0.0","","0.2","","0.2","","1","","26","","50",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-01","2024","03","01","","9.1","","-3.8","","2.7","","15.3","","0.0","","0.0","","0.0","","0.0","","","","18","","33",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-02","2024","03","02","","8.7","","3.2","","6.0","","12.0","","0.0","","0.0","T","0.0","","0.0","T","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-03-03","2024","03","03","","10.8","","2.2","","6.5","","11.5","","0.0","","0.0","","0.0","","0.0","","","","4","","31",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-04","2024","03","04","","20.9","","2.9","","11.9","","6.1","","0.0","","0.0","","0.0","","0.0","","","","16","","37",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-05","2024","03","05","","19.6","","7.9","","13.8","","4.2","","0.0","","0.2","","0.0","","0.2","","","","17","","36",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-06","2024","03","06","","8.8","","2.3","","5.6","","12.4","","0.0","","0.0","T","0.0","","0.0","T","","","3","","50",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-07","2024","03","07","","9.0","","0.1","","4.6","","13.4","","0.0","","0.2","","0.0","","0.2","","","","5","","49",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-08","2024","03","08","","8.2","","0.4","","4.3","","13.7","","0.0","","0.4","","0.0","","0.4","","","","2","","39",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-09","2024","03","09","","","M","","M","","M","","M","","M","14.0","","0.0","","14.0","","","","18","","67",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-10","2024","03","10","","2.9","","-2.2","","0.4","","17.6","","0.0","","0.0","","0.2","","0.2","","0","T","29","","61",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-11","2024","03","11","","8.0","","-1.7","","3.2","","14.8","","0.0","","0.0","","0.0","","0.0","","","","27","","48",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-12","2024","03","12","","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","16","","31",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-13","2024","03","13","","20.3","","3.3","","11.8","","6.2","","0.0","","0.0","","0.0","","0.0","","","","26","","37",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-14","2024","03","14","","12.5","","3.3","","7.9","","10.1","","0.0","","13.9","","0.0","","13.9","","","","3","","63",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-15","2024","03","15","","11.1","","0.7","","5.9","","12.1","","0.0","","0.0","T","0.0","","0.0","T","","","3","","51",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-16","2024","03","16","","9.6","","-0.1","","4.8","","13.2","","0.0","","5.0","","0.0","","5.0","","","","22","","59",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-17","2024","03","17","","6.3","","-2.1","","2.1","","15.9","","0.0","","0.0","","0.0","T","0.0","T","","","26","","53",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-18","2024","03","18","","1.0","","-3.1","","-1.1","","19.1","","0.0","","0.0","","0.0","T","0.0","T","","","26","","45",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-19","2024","03","19","","","M","","M","","M","","M","","M","0.0","","2.2","","2.2","","0","T","21","","57",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-20","2024","03","20","","0.1","","-6.0","","-3.0","","21.0","","0.0","","0.0","","0.0","T","0.0","T","1","","27","","66",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-21","2024","03","21","","-1.9","","-8.4","","-5.2","","23.2","","0.0","","0.0","","0.2","","0.0","T","1","","27","","38",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-22","2024","03","22","","-2.8","","-9.2","","-6.0","","24.0","","0.0","","0.0","","5.0","","5.0","","0","T","5","","41",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-23","2024","03","23","","3.6","","-7.5","","-2.0","","20.0","","0.0","","0.0","","0.4","","0.4","","4","","4","","39",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-24","2024","03","24","","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","T","7","","36",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-25","2024","03","25","","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","3","","36",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-26","2024","03","26","","9.3","","2.0","","5.7","","12.3","","0.0","","4.2","","0.0","","4.2","","","","17","","39",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-27","2024","03","27","","8.7","","1.5","","5.1","","12.9","","0.0","","0.6","","0.0","","0.6","","","","22","","53",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-28","2024","03","28","","8.4","","-3.0","","2.7","","15.3","","0.0","","0.0","","0.0","","0.0","","","","24","","40",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-29","2024","03","29","","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","26","","43",""
"-79.94","43.17","HAMILTON A","6153193","2024-03-30","2024","03","30","","7.8","","-4.7","","1.6","","16.4","","0.0","","2.1","","0.0","","2.1","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-03-31","2024","03","31","","9.1","","1.7","","5.4","","12.6","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-04-01","2024","04","01","","10.6","","0.8","","5.7","","12.3","","0.0","","0.0","T","0.0","","0.0","T","","","4","","36",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-02","2024","04","02","","5.7","","2.1","","3.9","","14.1","","0.0","","3.4","","0.0","","3.4","","","","3","","66",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-03","2024","04","03","","7.3","","2.4","","4.9","","13.1","","0.0","","13.4","","0.0","T","13.4","","","","4","","42",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-04","2024","04","04","","3.9","","-0.5","","1.7","","16.3","","0.0","","0.2","","0.4","","0.6","","0","T","4","","47",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-05","2024","04","05","","5.2","","-0.7","","2.3","","15.7","","0.0","","0.0","","0.8","","0.8","","1","","32","","37",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-06","2024","04","06","","13.5","","2.7","","8.1","","9.9","","0.0","","0.0","","0.0","","0.0","","","","30","","40",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-07","2024","04","07","","14.2","","0.5","","7.4","","10.6","","0.0","","0.0","","0.0","","0.0","","","","4","","31",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-08","2024","04","08","","11.5","","2.0","","6.8","","11.2","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-04-09","2024","04","09","","23.8","","2.6","","13.2","","4.8","","0.0","","0.0","T","0.0","","0.0","T","","","22","","47",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-10","2024","04","10","","18.4","","9.0","","13.7","","4.3","","0.0","","0.0","T","0.0","","0.0","T","","","22","","31",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-11","2024","04","11","","10.9","","6.1","","8.5","","9.5","","0.0","","25.6","","0.0","","25.6","","","","5","","50",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-12","2024","04","12","","12.9","","3.8","","8.4","","9.6","","0.0","","12.4","","0.0","","12.4","","","","27","","61",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-13","2024","04","13","","","M","","M","","M","","M","","M","1.1","","0.0","","1.1","","","","28","","60",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-14","2024","04","14","","20.5","","5.7","","13.1","","4.9","","0.0","","3.4","","0.0","","3.4","","","","25","","40",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-15","2024","04","15","","17.0","","4.4","","10.7","","7.3","","0.0","","0.0","","0.0","","0.0","","","","32","","46",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-16","2024","04","16","","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-04-17","2024","04","17","","8.0","","3.9","","6.0","","12.0","","0.0","","16.0","","0.0","","16.0","","","","4","","68",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-18","2024","04","18","","12.5","","6.0","","9.3","","8.7","","0.0","","0.2","","0.0","","0.2","","","","23","","37",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-19","2024","04","19","","14.8","","5.2","","10.0","","8.0","","0.0","","2.7","","0.0","","2.7","","","","27","","47",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-20","2024","04","20","","7.0","","2.7","","4.9","","13.1","","0.0","","0.0","","0.0","T","0.0","T","","","28","","48",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-21","2024","04","21","","9.9","","1.0","","5.5","","12.5","","0.0","","0.0","","0.0","","0.0","","","","27","","44",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-22","2024","04","22","","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","16","","40",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-23","2024","04","23","","16.6","","6.1","","11.4","","6.6","","0.0","","0.4","","0.0","","0.4","","","","21","","73",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-24","2024","04","24","","8.7","","-1.6","","3.6","","14.4","","0.0","","0.0","T","0.0","","0.0","T","","","3","","34",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-25","2024","04","25","","8.5","","-1.7","","3.4","","14.6","","0.0","","0.0","","0.0","","0.0","","","","3","","37",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-26","2024","04","26","","10.6","","-1.6","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","","","3","","49",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-27","2024","04","27","","19.1","","4.9","","12.0","","6.0","","0.0","","4.9","","0.0","","4.9","","","","17","","42",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-28","2024","04","28","","20.3","","12.6","","16.5","","1.5","","0.0","","4.8","","0.0","","4.8","","","","22","","36",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-29","2024","04","29","","12.6","","7.2","","9.9","","8.1","","0.0","","4.4","","0.0","","4.4","","","","2","","43",""
"-79.94","43.17","HAMILTON A","6153193","2024-04-30","2024","04","30","","21.4","","7.5","","14.5","","3.5","","0.0","","2.4","","0.0","","2.4","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-05-01","2024","05","01","","23.2","","4.7","","14.0","","4.0","","0.0","","0.0","T","0.0","","0.0","T","","","21","","43",""
"-79.94","43.17","HAMILTON A","6153193","2024-05-02","2024","05","02","","21.5","","9.6","","15.6","","2.4","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-05-03","2024","05","03","","14.0","","8.0","","11.0","","7.0","","0.0","","7.2","","0.0","","7.2","","","","4","","39",""
"-79.94","43.17","HAMILTON A","6153193","2024-05-04","2024","05","04","","19.3","","10.4","","14.9","","3.1","","0.0","","0.0","","0.0","","0.0","","","","3","","32",""
"-79.94","43.17","HAMILTON A","6153193","2024-05-05","2024","05","05","","21.3","","10.6","","16.0","","2.0","","0.0","","2.4","","0.0","","2.4","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-05-06","2024","05","06","","20.8","","7.0","","13.9","","4.1","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-05-07","2024","05","07","","19.2","","6.3","","12.8","","5.2","","0.0","","0.8","","0.0","","0.8","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-05-08","2024","05","08","","22.7","","7.9","","15.3","","2.7","","0.0","","0.0","T","0.0","","0.0","T","","","25","","72",""
"-79.94","43.17","HAMILTON A","6153193","2024-05-09","2024","05","09","","15.6","","6.5","","11.1","","6.9","","0.0","","0.0","","0.0","","0.0","","","","5","","37",""
"-79.94","43.17","HAMILTON A","6153193","2024-05-10","2024","05","10","","16.5","","6.9","","11.7","","6.3","","0.0","","0.0","","0.0","","0.0","","","","4","","31",""
"-79.94","43.17","HAMILTON A","6153193","2024-05-11","2024","05","11","","15.3","","6.2","","10.8","","7.2","","0.0","","1.5","","0.0","","1.5","","","","18","","48",""
"-79.94","43.17","HAMILTON A","6153193","2024-05-12","2024","05","12","","18.9","","8.8","","13.9","","4.1","","0.0","","0.0","","0.0","","0.0","","","","17","","36",""
"-79.94","43.17","HAMILTON A","6153193","2024-05-13","2024","05","13","","24.9","","8.9","","16.9","","1.1","","0.0","","0.6","","0.0","","0.6","","","","22","","57",""
"-79.94","43.17","HAMILTON A","6153193","2024-05-14","2024","05","14","","23.6","","10.5","","17.1","","0.9","","0.0","","5.8","","0.0","","5.8","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-05-15","2024","05","15","","19.2","","10.6","","14.9","","3.1","","0.0","","0.0","","0.0","","0.0","","","","4","","39",""
"-79.94","43.17","HAMILTON A","6153193","2024-05-16","2024","05","16","","21.6","","9.8","","15.7","","2.3","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-05-17","2024","05","17","","18.6","","12.3","","15.5","","2.5","","0.0","","19.6","","0.0","","19.6","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-05-18","2024","05","18","","20.9","","10.9","","15.9","","2.1","","0.0","","0.2","","0.0","","0.2","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-05-19","2024","05","19","","26.7","","10.5","","18.6","","0.0","","0.6","","0.3","","0.0","","0.3","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-05-20","2024","05","20","","28.8","","14.4","","21.6","","0.0","","3.6","","0.0","","0.0","","0.0","","","","31","","36",""
"-79.94","43.17","HAMILTON A","6153193","2024-05-21","2024","05","21","","29.1","","16.8","","23.0","","0.0","","5.0","","0.0","","0.0","","0.0","","","","22","","44",""
"-79.94","43.17","HAMILTON A","6153193","2024-05-22","2024","05","22","","26.9","","16.1","","21.5","","0.0","","3.5","","","M","","M","","M","","","21","","58",""
"-79.94","43.17","HAMILTON A","6153193","2024-05-23","2024","05","23","","","M","","M","","M","","M","","M","","M","","","","M","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2024-05-24","2024","05","24","","25.7","","11.4","","18.6","","0.0","","0.6","","0.0","","0.0","","0.0","","","","23","","34",""
"-79.94","43.17","HAMILTON A","6153193","2024-05-25","2024","05","25","","20.8","","11.8","","16.3","","1.7","","0.0","","11.2","","0.0","","11.2","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-05-26","2024","05","26","","21.1","","8.9","","15.0","","3.0","","0.0","","14.0","","0.0","","14.0","","","","14","","48",""
"-79.94","43.17","HAMILTON A","6153193","2024-05-27","2024","05","27","","","M","","M","","M","","M","","M","18.5","","0.0","","18.5","","","","23","","70",""
"-79.94","43.17","HAMILTON A","6153193","2024-05-28","2024","05","28","","19.4","","11.4","","15.4","","2.6","","0.0","","8.8","","0.0","","8.8","","","","22","","36",""
"-79.94","43.17","HAMILTON A","6153193","2024-05-29","2024","05","29","","19.8","","7.9","","13.9","","4.1","","0.0","","0.0","","0.0","","0.0","","","","2","","32",""
"-79.94","43.17","HAMILTON A","6153193","2024-05-30","2024","05","30","","19.2","","5.3","","12.3","","5.7","","0.0","","0.0","","0.0","","0.0","","","","32","","37",""
"-79.94","43.17","HAMILTON A","6153193","2024-05-31","2024","05","31","","22.4","","4.1","","13.3","","4.7","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-06-01","2024","06","01","","24.6","","6.8","","15.7","","2.3","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-06-02","2024","06","02","","17.8","","13.3","","15.6","","2.4","","0.0","","2.8","","0.0","","2.8","","","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2024-06-03","2024","06","03","","22.7","","13.6","","18.2","","0.0","","0.2","","0.0","T","0.0","","0.0","T","","","","M","","M"
